Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,357.40506329113924,365.60759493670884,1.3670886075949367,357.40506329113924,365.60759493670884,1.3670886075949367,355,363,0,361,368,3,168.0,0.47023809523809523,79.0,79,152.0,152.0,92.3402,0.8477233240634668,4.186736368155956,2.341701288749832,0.5617016072509456,
1,obj2-val2,2,0,403.0289855072464,244.28985507246378,1.2173913043478262,403.0289855072464,244.28985507246378,1.2173913043478262,400,241,0,405,247,3,168.0,0.4107142857142857,69.0,69,142.0,142.0,89.72516666666668,0.8350643646891596,3.8806766592636253,2.257722564610097,0.6360743491725008,
2,obj3-val3,3,0,66.0,47.65384615384615,1.5384615384615385,66.0,47.65384615384615,1.5384615384615385,65,46,0,68,49,3,64.0,0.40625,26.0,26,64.0,64.0,37.38976666666667,0.8003327710263384,2.561954228212444,1.5304535977547626,0.3701023035658704,
3,obj4-val4,4,0,365.04347826086956,273.7391304347826,3.8260869565217392,365.04347826086956,273.7391304347826,3.8260869565217392,364,273,2,366,275,5,36.0,0.6388888888888888,23.0,23,56.0,56.0,34.956266666666664,0.760558942805923,2.0778788078866985,1.4133226314865994,0.3078962580902532,
4,obj5-val5,5,0,125.9090909090909,300.09090909090907,3.9696969696969697,125.9090909090909,300.09090909090907,3.9696969696969697,125,299,2,127,301,6,45.0,0.7333333333333333,33.0,33,70.0,70.0,43.17343333333334,0.9141274623635316,2.3521476812515276,1.6111791902694583,0.3936981747711484,
5,obj6-val6,6,0,169.55555555555554,313.9259259259259,3.925925925925926,169.55555555555554,313.9259259259259,3.925925925925926,168,313,2,171,315,5,48.0,0.5625,27.0,27,66.0,66.0,41.2307,1.0297362055153993,2.0242019884355202,1.5086768932130383,0.30612229506724714,
6,obj7-val7,7,0,371.3529411764706,270.72549019607845,6.392156862745098,371.3529411764706,270.72549019607845,6.392156862745098,369,269,4,373,272,9,120.0,0.425,51.0,51,112.0,112.0,70.14743333333332,0.897045430093977,3.1218371152641375,2.0783498296459633,0.6014840846495938,
7,obj8-val8,8,0,118.07692307692308,299.61538461538464,4.8076923076923075,118.07692307692308,299.61538461538464,4.8076923076923075,117,298,3,119,301,7,60.0,0.43333333333333335,26.0,26,66.0,66.0,41.01093333333333,1.0183232534518123,2.278338956864605,1.5080586911731826,0.3241968479375916,
8,obj9-val9,9,0,236.28571428571428,419.14285714285717,5.428571428571429,236.28571428571428,419.14285714285717,5.428571428571429,235,418,4,237,420,7,36.0,0.5833333333333334,21.0,21,56.0,56.0,35.573,0.6546536707079786,1.9272482233188597,1.397254846640649,0.374718391460072,
9,obj10-val10,10,0,61.431372549019606,50.64705882352941,5.529411764705882,61.431372549019606,50.64705882352941,5.529411764705882,60,49,3,63,53,8,120.0,0.425,51.0,51,116.0,116.0,72.27833333333334,0.8181429821578463,3.401664110926866,1.9655693627518869,0.5622882709061044,
10,obj11-val11,11,0,389.9130434782609,384.4347826086956,7.956521739130435,389.9130434782609,384.4347826086956,7.956521739130435,388,382,6,392,386,9,100.0,0.46,46.0,46,108.0,108.0,65.39150000000001,1.0122127588541516,2.8019032149074627,1.9054560076759284,0.5255128904595242,
11,obj12-val12,12,0,274.8181818181818,385.6818181818182,8.318181818181818,274.8181818181818,385.6818181818182,8.318181818181818,274,385,7,276,387,10,36.0,0.6111111111111112,22.0,22,56.0,56.0,35.176033333333336,0.7740630166330171,1.9906807673143803,1.4110514649466257,0.37217292061693497,
12,obj13-val13,13,0,389.2,392.68,7.32,389.2,392.68,7.32,388,392,5,390,394,9,45.0,0.5555555555555556,25.0,25,64.0,64.0,40.332166666666666,0.49477267507411044,2.4748333277212864,1.5110188871902432,0.4880719004990169,
13,obj14-val14,14,0,388.2608695652174,387.69565217391306,9.217391304347826,388.2608695652174,387.69565217391306,9.217391304347826,386,386,7,390,389,11,100.0,0.69,69.0,69,116.0,116.0,75.86496666666667,0.7741084267289173,3.012889763316612,2.1382809778308007,0.46515519089443774,
